Sentence #,Word,POS,NER_Tag,RefExp_Tag
Sentence: 3068,so,CCONJ,O,O
,can,VERB,O,O
,i,PRON,O,O
,see,VERB,O,O
,the,DET,O,O
,total,ADJ,O,O
,number,NOUN,O,O
,of,ADP,O,O
,crimes,NOUN,O,O
,that,DET,O,O
,criminal,VERB,B-unk,O
,act,VERB,I-unk,O
,in,ADP,O,O
,a,DET,O,O
,legal,NOUN,B-crime,O
,offender,NOUN,I-crime,O
,along,ADP,O,O
,x,NOUN,O,O
,-,NOUN,O,O
,axis,NOUN,O,O
,and,CCONJ,O,O
,total,ADJ,O,O
,number,NOUN,O,O
,of,ADP,O,O
,numbers,NOUN,O,O
,?,PUNCT,O,O
Sentence: 3069,or,CCONJ,O,O
,other,ADJ,O,O
,representation,NOUN,O,O
,.,PUNCT,O,O
Sentence: 3070,so,CCONJ,O,O
,there,PRON,O,O
,is,AUX,O,O
,a,DET,O,O
,lot,NOUN,O,O
,of,ADP,O,O
,kidnapping,NOUN,B-crime,O
,and,CCONJ,O,O
,criminal,NOUN,B-crime,O
,battery,NOUN,I-crime,O
,.,PUNCT,O,O
Sentence: 3071,i,PRON,O,O
,am,AUX,O,O
,sorry,ADJ,O,O
,.,PUNCT,O,O
Sentence: 3072,yeah,INTJ,O,O
,,PUNCT,O,O
,i,PRON,O,O
,do,AUX,O,O
,not,PART,O,O
,know,VERB,O,O
,what,PRON,O,O
,it,PRON,O,O
,is,AUX,O,O
,.,PUNCT,O,O
Sentence: 3073,okay,INTJ,O,O
,,PUNCT,O,O
,so,ADV,O,O
,i,PRON,O,O
,am,AUX,O,O
,thinking,VERB,O,O
,about,ADP,O,O
,5,NUM,O,O
,categories,NOUN,O,O
,of,ADP,O,O
,abortion,NOUN,B-crime,O
,in,ADP,O,O
,the,PROPN,B-location,O
,arena,PROPN,I-location,O
,of,ADP,O,O
,five,NUM,O,O
,hours,NOUN,O,O
,,PUNCT,O,O
,which,DET,O,O
,i,PRON,O,O
,do,AUX,O,O
,not,PART,O,O
,know,VERB,O,O
,what,PRON,O,O
,the,DET,O,O
,second,ADJ,O,O
,thing,NOUN,O,O
,is,AUX,O,O
,.,PUNCT,O,O
Sentence: 3074,can,VERB,O,O
,i,PRON,O,O
,see,VERB,O,O
,a,DET,O,O
,number,NOUN,O,O
,of,ADP,O,O
,crimes,NOUN,O,O
,i,PRON,O,O
,know,VERB,O,O
,from,ADP,O,O
,topographic,NUM,B-location,O
,point,NUM,I-location,O
,?,PUNCT,O,O
Sentence: 3075,and,CCONJ,O,O
