Sentence #,Word,POS,NER_Tag,RefExp_Tag
Sentence: 8594,i,PRON,O,O
,could,VERB,O,O
,just,ADV,O,O
,get,AUX,O,O
,out,SCONJ,O,O
,of,ADP,O,O
,here,ADV,O,O
,,PUNCT,O,O
,i,PRON,O,O
,guess,VERB,O,O
,i,PRON,O,O
,would,VERB,O,O
,have,AUX,O,O
,guessed,VERB,O,O
,as,SCONJ,O,O
,a,DET,O,O
,general,ADJ,O,O
,one,NOUN,O,O
,as,SCONJ,O,O
,possible,ADJ,O,O
,,PUNCT,O,O
,for,ADP,O,O
,the,DET,O,O
,case,NOUN,O,O
,of,ADP,O,O
,biologists,NOUN,O,O
,is,AUX,O,O
,legal,ADJ,B-crime,O
,criminal,ADJ,I-crime,O
,.,PUNCT,O,O
Sentence: 8595,is,AUX,O,O
,that,DET,O,O
,really,ADV,O,O
,general,ADJ,O,O
,?,PUNCT,O,O
Sentence: 8596,should,VERB,O,O
,anyone,PRON,O,O
,ask,VERB,O,O
,me,PRON,O,O
,a,DET,O,O
,few,ADJ,O,O
,questions,NOUN,O,O
,?,PUNCT,O,O
Sentence: 8597,is,AUX,O,O
,this,DET,O,O
,one,NUM,O,O
,for,ADP,O,O
,a,DET,O,O
,day,NOUN,B-day,O
,?,PUNCT,O,O
Sentence: 8598,so,CCONJ,O,O
,it,PRON,O,O
,is,AUX,O,O
,2010,NUM,B-year,O
,2002,NUM,O,O
,.,PUNCT,O,O
Sentence: 8599,each,DET,O,O
,time,NOUN,B-time,O
,is,AUX,O,O
,for,ADP,O,O
,2010,NUM,B-year,O
,to,ADP,O,O
,2014,NUM,B-year,O
,,PUNCT,O,O
,or,CCONJ,O,O
,are,AUX,O,O
,you,PRON,O,O
,a,DET,O,O
,day,NOUN,B-day,O
,old,ADJ,O,O
,?,PUNCT,O,O
Sentence: 8600,the,DET,O,O
,month,NOUN,B-month,O
,is,AUX,O,O
,the,DET,O,O
,date,NOUN,O,O
,of,ADP,O,O
,the,DET,O,O
,week,NOUN,O,O
,.,PUNCT,O,O
Sentence: 8601,a,DET,O,O
,bad,PROPN,B-crime,O
,deed,PROPN,I-crime,O
,.,PUNCT,O,O
Sentence: 8602,would,VERB,O,O
,you,PRON,O,O
,like,VERB,O,O
,this,DET,O,O
,information,NOUN,O,O
,with,ADP,O,O
,a,DET,O,O
,evil,NOUN,B-crime,O
,deed,NOUN,I-crime,O
,?,PUNCT,O,O
Sentence: 8603,ok,INTJ,O,O
,location,NOUN,B-location,O
,and,CCONJ,O,O
,then,ADV,O,O
,in,ADP,O,O
,the,DET,O,O
,commercial,NOUN,B-location,O
,.,PUNCT,O,O
Sentence: 8604,and,CCONJ,O,O
,so,ADV,O,O
,it,PRON,O,O
,is,AUX,O,O
,a,DET,O,O
,assault,NOUN,B-crime,O
,from,ADP,O,O
,the,PROPN,B-location,O
,school,PROPN,I-location,O
,.,PUNCT,O,O
Sentence: 8605,it,PRON,O,O
,looks,VERB,O,O
,like,SCONJ,O,O
,a,DET,O,O
,crime,NOUN,B-crime,O
,is,AUX,O,O
,going,VERB,O,O
,to,PART,O,O
,be,AUX,O,O
,born,VERB,O,O
,since,SCONJ,O,O
,2010,NUM,B-year,O
,.,PUNCT,O,O
Sentence: 8606,i,PRON,O,O
,know,VERB,O,O
,this,DET,O,O
,is,AUX,O,O
,a,DET,O,O
,lot,NOUN,O,O
,of,ADP,O,O
,things,NOUN,O,O
,,PUNCT,O,O
,but,CCONJ,O,O
,is,AUX,O,O
,there,PRON,O,O
,any,DET,O,O
,way,NOUN,O,O
,to,PART,O,O
,keep,VERB,O,O
,up,ADP,O,O
,while,SCONJ,O,O
,we,PRON,O,O
,look,VERB,O,O
,at,ADP,O,O
,the,DET,O,O
,vicinity,NOUN,B-neighborhood,O
,?,PUNCT,O,O
Sentence: 8607,i,PRON,O,O
,am,AUX,O,O
,trying,VERB,O,O
,to,PART,O,O
,get,AUX,O,O
,the,DET,O,O
,list,NOUN,O,O
,of,ADP,O,O
,the,DET,O,O
,Lincoln,NOUN,B-neighborhood,O
,Park,NOUN,I-neighborhood,O
,.,PUNCT,O,O
Sentence: 8608,would,VERB,O,O
,you,PRON,O,O
,mind,VERB,O,O
,taking,VERB,O,O
,me,PRON,O,O
,to,ADP,O,O
,the,DET,O,O
,river,NOUN,O,O
,?,PUNCT,O,O
Sentence: 8609,and,CCONJ,O,O
,i,PRON,O,O
,guess,VERB,O,O
,the,DET,O,O
,same,ADJ,O,O
,chart,NOUN,O,O
