Sentence #,Word,POS,NER_Tag,RefExp_Tag
Sentence: 8953,will,VERB,O,O
,i,PRON,O,O
,have,AUX,O,O
,the,DET,O,O
,four,NUM,O,O
,motel,NOUN,B-location,O
,?,PUNCT,O,O
Sentence: 8954,four,NUM,O,O
,cta,PROPN,B-location,O
,garage,PROPN,I-location,O
,.,PUNCT,O,O
Sentence: 8955,what,PRON,O,O
,are,AUX,O,O
,four,NUM,O,O
,residence,NOUN,B-location,O
,garage,NOUN,I-location,O
,?,PUNCT,O,O
Sentence: 8956,can,VERB,O,O
,you,PRON,O,O
,like,VERB,O,O
,the,DET,O,O
,whole,ADJ,O,O
,urban,PROPN,B-neighborhood,O
,neighborhood,PROPN,I-neighborhood,O
,?,PUNCT,O,O
Sentence: 8957,i,PRON,O,O
,am,AUX,O,O
,sorry,ADJ,O,O
,i,PRON,O,O
,meant,VERB,O,O
,how,ADV,O,O
,many,ADJ,O,O
,illegal,PROPN,B-crime,O
,crime,PROPN,I-crime,O
,occur,VERB,O,O
,that,DET,O,O
,i,PRON,O,O
,wanted,VERB,O,O
,.,PUNCT,O,O
Sentence: 8958,oh,INTJ,O,O
,,PUNCT,O,O
,oops,INTJ,O,O
,.,PUNCT,O,O
Sentence: 8959,is,AUX,O,O
,that,SCONJ,O,O
,a,DET,O,O
,felon,NOUN,B-crime,O
,for,ADP,O,O
,a,DET,O,O
,day,NOUN,B-day,O
,?,PUNCT,O,O
Sentence: 8960,it,PRON,O,O
,is,AUX,O,O
,all,DET,O,O
,four,NUM,O,O
,time,NOUN,B-time,O
,.,PUNCT,O,O
Sentence: 8961,you,PRON,O,O
,have,AUX,O,O
,to,PART,O,O
,show,VERB,O,O
,me,PRON,O,O
,your,DET,O,O
,parking,NUM,B-location,O
,lot,NUM,I-location,O
,?,PUNCT,O,O
Sentence: 8962,i,PRON,O,O
,am,AUX,O,O
,sorry,ADJ,O,O
,we,PRON,O,O
,are,AUX,O,O
,at,ADP,O,O
,the,DET,O,O
,west,NOUN,B-unk,O
,side,NOUN,I-unk,O
,of,ADP,O,O
,the,DET,O,O
,west,NOUN,O,O
,and,CCONJ,O,O
,are,AUX,O,O
,capable,ADJ,O,O
,of,ADP,O,O
,everything,PRON,O,O
,that,DET,O,O
,is,AUX,O,O
,been,AUX,O,O
,a,DET,O,O
,convicted,NOUN,B-crime,O
,felon,NOUN,I-crime,O
,?,PUNCT,O,O
Sentence: 8963,so,SCONJ,O,O
,far,PROPN,O,O
,west,PROPN,B-unk,O
,side,PROPN,I-unk,O
,was,AUX,O,O
,mostly,ADV,O,O
,stealing,VERB,O,O
,human,NOUN,B-crime,O
,trafficking,NOUN,I-crime,O
,of,ADP,O,O
,infraction,NOUN,B-crime,O
,arson,NOUN,I-crime,O
,of,ADP,O,O
,crashes,NOUN,O,O
,.,PUNCT,O,O
Sentence: 8964,is,AUX,O,O
,the,DET,O,O
,interference,PROPN,B-crime,O
,with,PROPN,I-crime,O
,public,PROPN,I-crime,O
,officer,PROPN,I-crime,O
,in,ADP,O,O
,the,DET,O,O
,Near,PROPN,B-neighborhood,O
,West,PROPN,I-neighborhood,O
,are,AUX,O,O
,able,ADJ,O,O
,to,PART,O,O
,prove,VERB,O,O
,it,PRON,O,O
,by,ADP,O,O
,a,DET,O,O
,day,NOUN,B-day,O
,?,PUNCT,O,O
Sentence: 8965,it,PRON,O,O
,is,AUX,O,O
