Sentence #,Word,POS,NER_Tag,RefExp_Tag
Sentence: 91,So,ADV,O,O
,which,DET,O,O
,location,NOUN,B-location,O
,has,AUX,O,O
,the,DET,O,O
,highest,ADJ,O,O
,crime,NOUN,B-crime,O
,rate,NOUN,I-crime,O
,recorded,VERB,O,O
,?,PUNCT,O,O
Sentence: 92,So,ADV,O,O
,I,PRON,O,O
,can,VERB,O,O
,see,VERB,O,O
,there,ADV,O,O
,River,VERB,B-unk,O
,North,VERB,I-unk,O
,has,AUX,O,O
,the,DET,O,O
,highest,ADJ,O,O
,crime,NOUN,B-crime,O
,rate,NOUN,I-crime,O
,.,PUNCT,O,O
Sentence: 93,So,ADV,O,O
,what,DET,O,O
,type,NOUN,B-crime,O
,of,NOUN,I-crime,O
,crimes,NOUN,I-crime,O
Sentence: 94,Editing,NOUN,O,O
,title,NOUN,O,O
,?,PUNCT,O,O
,What,PRON,O,O
,is,AUX,O,O
,editing,VERB,O,O
,title,NOUN,O,O
,?,PUNCT,O,O
Sentence: 95,So,CCONJ,O,O
,can,VERB,O,O
,I,PRON,O,O
,see,VERB,O,O
,the,DET,O,O
,intersection,NOUN,O,O
,between,ADP,O,O
,the,DET,O,O
,River,PROPN,B-neighborhood,O
,North,PROPN,I-neighborhood,O
,and,CCONJ,O,O
,the,DET,O,O
,street,NOUN,B-location,O
,sidewalk,NOUN,I-location,O
,and,CCONJ,O,O
,residence,NOUN,B-location,O
,views,NOUN,O,O
,?,PUNCT,O,O
Sentence: 96,So,ADV,O,O
,is,AUX,O,O
,the,DET,O,O
,status,NOUN,O,O
,not,PART,O,O
,changing,VERB,O,O
,?,PUNCT,O,O
Sentence: 97,here,ADV,O,O
,how,ADV,O,O
,can,VERB,O,O
,we,PRON,O,O
,identify,VERB,O,O
,the,DET,O,O
,neighborhoods,NOUN,B-neighborhood,O
,here,ADV,O,O
,?,PUNCT,O,O
,Which,DET,O,O
,is,AUX,O,O
,a,DET,O,O
,street,NOUN,B-location,O
,and,CCONJ,O,O
,which,DET,O,O
,is,AUX,O,O
,a,DET,O,O
,sidewalk,NOUN,B-location,O
,?,PUNCT,O,O
Sentence: 98,Yeah,INTJ,O,O
,so,ADV,O,O
,I,PRON,O,O
,want,VERB,O,O
,to,PART,O,O
,know,VERB,O,O
,the,DET,O,O
,intersection,NOUN,O,O
,between,ADP,O,O
,the,DET,O,O
,River,NOUN,B-neighborhood,O
,North,NOUN,I-neighborhood,O
,area,NOUN,I-neighborhood,O
,I,PRON,O,O
,want,VERB,O,O
,to,PART,O,O
,know,VERB,O,O
,what,PRON,O,O
,is,AUX,O,O
,the,DET,O,O
,what,PRON,O,O
,are,AUX,O,O
,the,DET,O,O
,neighborhoods,NOUN,B-neighborhood,O
,that,DET,O,O
,a,DET,O,O
,have,AUX,O,O
,the,DET,O,O
,highest,ADJ,O,O
,crime,NOUN,B-crime,O
,rate,NOUN,I-crime,O
,in,ADP,O,O
,River,NOUN,B-neighborhood,O
,North,NOUN,I-neighborhood,O
,?,PUNCT,O,O
Sentence: 99,Is,AUX,O,O
,it,PRON,O,O
,is,AUX,O,O
,it,PRON,O,O
,street,NOUN,B-location,O
,are,AUX,O,O
,the,DET,O,O
,are,AUX,O,O
,the,DET,O,O
,streets,NOUN,B-location,O
,is,AUX,O,O
,it,PRON,O,O
,the,DET,O,O
