Sentence #,Word,POS,NER_Tag,RefExp_Tag
Sentence: 1767,so,CCONJ,O,O
,can,VERB,O,O
,i,PRON,O,O
,see,VERB,O,O
,the,DET,O,O
,total,ADJ,O,O
,number,NOUN,O,O
,of,ADP,O,O
,crimes,NOUN,O,O
,that,DET,O,O
,bad,PROPN,B-crime,O
,deed,PROPN,I-crime,O
,in,ADP,O,O
,a,DET,O,O
,criminal,PROPN,B-crime,O
,offender,PROPN,I-crime,O
,along,ADP,O,O
,x,NOUN,O,O
,-,NOUN,O,O
,axis,NOUN,O,O
,and,CCONJ,O,O
,total,ADJ,O,O
,number,NOUN,O,O
,of,ADP,O,O
,numbers,NOUN,O,O
,?,PUNCT,O,O
Sentence: 1768,or,CCONJ,O,O
,another,DET,O,O
,photo,NOUN,O,O
,.,PUNCT,O,O
Sentence: 1769,so,CCONJ,O,O
,there,PRON,O,O
,is,AUX,O,O
,a,DET,O,O
,lot,NOUN,O,O
,of,ADP,O,O
,obscenity,NOUN,B-crime,O
,and,CCONJ,O,O
,a,DET,O,O
,driving,NOUN,B-crime,O
,under,NOUN,I-crime,O
,the,NOUN,I-crime,O
,influence,NOUN,I-crime,O
,.,PUNCT,O,O
Sentence: 1770,i,PRON,O,O
,am,AUX,O,O
,sorry,ADJ,O,O
,you,PRON,O,O
,could,VERB,O,O
,make,VERB,O,O
,a,DET,O,O
,little,ADJ,O,O
,small,ADJ,O,O
,?,PUNCT,O,O
Sentence: 1771,yes,INTJ,O,O
,,PUNCT,O,O
,however,ADV,O,O
,,PUNCT,O,O
,seduced,VERB,O,O
,practices,NOUN,O,O
,i,PRON,O,O
,do,AUX,O,O
,not,PART,O,O
,know,VERB,O,O
,what,PRON,O,O
,it,PRON,O,O
,is,AUX,O,O
,.,PUNCT,O,O
Sentence: 1772,okay,INTJ,O,O
,,PUNCT,O,O
,so,ADV,O,O
,i,PRON,O,O
,am,AUX,O,O
,thinking,VERB,O,O
,about,ADP,O,O
,5,NUM,O,O
,categories,NOUN,O,O
,of,ADP,O,O
,obscenity,NOUN,B-crime,O
,in,ADP,O,O
,the,PROPN,B-location,O
,arena,PROPN,I-location,O
,of,ADP,O,O
,five,NUM,O,O
,hours,NOUN,O,O
,,PUNCT,O,O
,which,DET,O,O
,i,PRON,O,O
,do,AUX,O,O
,not,PART,O,O
,know,VERB,O,O
,what,PRON,O,O
,the,DET,O,O
,second,ADJ,O,O
,thing,NOUN,O,O
,is,AUX,O,O
,.,PUNCT,O,O
Sentence: 1773,can,VERB,O,O
,i,PRON,O,O
,see,VERB,O,O
,the,DET,O,O
,number,NOUN,O,O
,of,ADP,O,O
,crimes,NOUN,O,O
,from,ADP,O,O
,porch,NOUN,B-location,O
,?,PUNCT,O,O
Sentence: 1774,and,CCONJ,O,O
,we,PRON,O,O
,have,AUX,O,O
,a,DET,O,O
,map,NOUN,O,O
,of,ADP,O,O
,where,ADV,O,O
,the,DET,O,O
,legal,PROPN,B-crime,O
,crime,PROPN,I-crime,O
,has,AUX,O,O
,taken,VERB,O,O
,cta,PROPN,B-location,O
,station,PROPN,I-location,O
,at,ADP,O,O
,the,DET,O,O
,area,NOUN,B-neighborhood,O
,of,NOUN,I-neighborhood,O
,city,NOUN,I-neighborhood,O
,?,PUNCT,O,O
Sentence: 1775,can,VERB,O,O
,i,PRON,O,O
,filter,VERB,O,O
,local,PROPN,B-crime,O
,crime,PROPN,I-crime,O
,on,ADP,O,O
,the,DET,O,O
,map,NOUN,O,O
,to,PART,O,O
,show,VERB,O,O
