Sentence #,Word,POS,NER_Tag,RefExp_Tag
Sentence: 10876,all,ADV,O,O
,right,ADV,O,O
,,PUNCT,O,O
,so,CCONJ,O,O
,i,PRON,O,O
,can,VERB,O,O
,see,VERB,O,O
,the,DET,O,O
,total,ADJ,O,O
,number,NOUN,O,O
,of,ADP,O,O
,crimes,NOUN,O,O
,for,ADP,O,O
,criminally,ADV,B-crime,O
,.,PUNCT,O,O
,like,SCONJ,O,O
,a,DET,O,O
,illegal,PROPN,B-crime,O
,offence,PROPN,I-crime,O
,along,ADP,O,O
,the,DET,O,O
,x,NOUN,O,O
,-,NOUN,O,O
,axis,NOUN,O,O
,and,CCONJ,O,O
,total,ADJ,O,O
,number,NOUN,O,O
,?,PUNCT,O,O
Sentence: 10877,or,CCONJ,O,O
,other,ADJ,O,O
,representation,NOUN,O,O
,?,PUNCT,O,O
Sentence: 10878,there,PRON,O,O
,is,AUX,O,O
,a,DET,O,O
,lot,NOUN,O,O
,of,ADP,O,O
,alcohol,NUM,B-crime,O
,intoxication,NUM,I-crime,O
,and,CCONJ,O,O
,weapons,NOUN,O,O
,violation,NOUN,B-crime,O
,.,PUNCT,O,O
Sentence: 10879,i,PRON,O,O
,am,AUX,O,O
,sorry,ADJ,O,O
,you,PRON,O,O
,could,VERB,O,O
,be,AUX,O,O
,a,DET,O,O
,little,ADJ,O,O
,smaller,ADJ,O,O
,?,PUNCT,O,O
Sentence: 10880,yeah,INTJ,O,O
,,PUNCT,O,O
,i,PRON,O,O
,do,AUX,O,O
,not,PART,O,O
,know,VERB,O,O
,what,PRON,O,O
,it,PRON,O,O
,is,AUX,O,O
,.,PUNCT,O,O
Sentence: 10881,okay,INTJ,O,O
,,PUNCT,O,O
,so,ADV,O,O
,i,PRON,O,O
,am,AUX,O,O
,thinking,VERB,O,O
,about,ADP,O,O
,5,NUM,O,O
,categories,NOUN,O,O
,of,ADP,O,O
,interference,PROPN,B-crime,O
,with,PROPN,I-crime,O
,public,PROPN,I-crime,O
,officer,PROPN,I-crime,O
,in,ADP,O,O
,the,DET,O,O
,park,NOUN,B-location,O
,of,ADP,O,O
,five,NUM,O,O
,hours,NOUN,O,O
,,PUNCT,O,O
,which,DET,O,O
,i,PRON,O,O
,do,AUX,O,O
,not,PART,O,O
,know,VERB,O,O
,what,PRON,O,O
,the,DET,O,O
,second,ADJ,O,O
,thing,NOUN,O,O
,is,AUX,O,O
,.,PUNCT,O,O
Sentence: 10882,can,VERB,O,O
,i,PRON,O,O
,see,VERB,O,O
,the,DET,O,O
,number,NOUN,O,O
,of,ADP,O,O
,crimes,NOUN,O,O
,?,PUNCT,O,O
Sentence: 10883,and,CCONJ,O,O
,we,PRON,O,O
,have,AUX,O,O
,a,DET,O,O
,map,NOUN,O,O
