Sentence #,Word,POS,NER_Tag,RefExp_Tag
Sentence: 6868,let,VERB,O,O
,us,PRON,O,O
,see,VERB,O,O
,.,PUNCT,O,O
Sentence: 6869,i,PRON,O,O
,should,VERB,O,O
,probably,ADV,O,O
,look,VERB,O,O
,at,ADP,O,O
,the,DET,O,O
,activity,NOUN,O,O
,near,SCONJ,O,O
,River,PROPN,B-neighborhood,O
,North,PROPN,I-neighborhood,O
,?,PUNCT,O,O
Sentence: 6870,let,VERB,O,O
,us,PRON,O,O
,see,VERB,O,O
,.,PUNCT,O,O
Sentence: 6871,is,AUX,O,O
,that,DET,O,O
,working,VERB,O,O
,?,PUNCT,O,O
Sentence: 6872,that,DET,O,O
,is,AUX,O,O
,probably,ADV,O,O
,possible,ADJ,O,O
,.,PUNCT,O,O
Sentence: 6873,i,PRON,O,O
,just,ADV,O,O
,said,VERB,O,O
,my,DET,O,O
,thoughts,NOUN,O,O
,.,PUNCT,O,O
Sentence: 6874,it,PRON,O,O
,is,AUX,O,O
,processing,VERB,O,O
,it,PRON,O,O
,.,PUNCT,O,O
Sentence: 6875,this,DET,O,O
,thing,NOUN,O,O
,is,AUX,O,O
,so,ADV,O,O
,well,ADV,O,O
,.,PUNCT,O,O
Sentence: 6876,the,DET,O,O
,city,NOUN,O,O
,is,AUX,O,O
,specifically,ADV,O,O
,aimed,VERB,O,O
,at,ADP,O,O
,doing,VERB,O,O
,the,DET,O,O
,own,ADJ,O,O
,resources,NOUN,O,O
,and,CCONJ,O,O
,deter,VERB,O,O
,illegal,X,B-crime,O
,and,X,I-crime,O
,punishable,X,I-crime,O
,crime,X,I-crime,O
,and,CCONJ,O,O
,prevent,VERB,O,O
,illegal,PROPN,B-crime,O
,action,PROPN,I-crime,O
,and,CCONJ,O,O
,should,VERB,O,O
,be,AUX,O,O
,able,ADJ,O,O
,to,PART,O,O
,know,VERB,O,O
,which,DET,O,O
,areas,NOUN,O,O
,he,PRON,O,O
,should,VERB,O,O
,use,VERB,O,O
,the,DET,O,O
,officers,NOUN,O,O
,.,PUNCT,O,O
Sentence: 6877,this,DET,O,O
,is,AUX,O,O
,all,DET,O,O
,neighborhood,NOUN,B-neighborhood,O
,in,ADP,O,O
,the,DET,O,O
,area,NOUN,O,O
,this,DET,O,O
,is,AUX,O,O
,just,ADV,O,O
,exactly,ADV,O,O
