Sentence #,Word,POS,NER_Tag,RefExp_Tag
Sentence: 7082,what,DET,O,O
,commercial,NOUN,B-location,O
,should,VERB,O,O
,i,PRON,O,O
,avoid,VERB,O,O
,by,ADP,O,O
,1,NUM,B-time,O
,pm,NUM,I-time,O
,on,ADP,O,O
,friday,NOUN,B-unk,O
,night,NOUN,I-unk,O
,?,PUNCT,O,O
Sentence: 7083,i,PRON,O,O
,think,VERB,O,O
,Loop,PROPN,B-neighborhood,O
,is,AUX,O,O
,the,DET,O,O
,vehicle,NOUN,B-location,O
,where,ADV,O,O
,i,PRON,O,O
,would,VERB,O,O
,not,PART,O,O
,want,VERB,O,O
,to,PART,O,O
,go,VERB,O,O
,to,ADP,O,O
,4,NUM,B-time,O
,am,NUM,I-time,O
,just,ADV,O,O
,because,SCONJ,O,O
,of,ADP,O,O
,the,DET,O,O
,overall,ADJ,O,O
,number,NOUN,O,O
,of,ADP,O,O
,crimes,NOUN,O,O
,.,PUNCT,O,O
Sentence: 7084,ok,INTJ,O,O
,,PUNCT,O,O
,all,DET,O,O
,breaking,PROPN,B-crime,O
,the,PROPN,I-crime,O
,law,PROPN,I-crime,O
,.,PUNCT,O,O
Sentence: 7085,is,AUX,O,O
,it,PRON,O,O
,possible,ADJ,O,O
,to,PART,O,O
,see,VERB,O,O
,the,DET,O,O
,map,NOUN,O,O
,is,AUX,O,O
,enough,ADJ,O,O
,idea,NOUN,O,O
,?,PUNCT,O,O
,we,PRON,O,O
,can,VERB,O,O
,only,ADV,O,O
,see,VERB,O,O
,the,DET,O,O
,number,NOUN,O,O
,of,ADP,O,O
,all,DET,O,O
,the,DET,O,O
,numbers,NOUN,O,O
,with,ADP,O,O
,more,ADJ,O,O
,than,SCONJ,O,O
,fifty,NUM,O,O
,bad,PROPN,B-crime,O
,deed,PROPN,I-crime,O
,in,ADP,O,O
,the,DET,O,O
,area,NOUN,O,O
,?,PUNCT,O,O
Sentence: 7086,is,AUX,O,O
,it,PRON,O,O
,possible,ADJ,O,O
,to,PART,O,O
,see,VERB,O,O
,only,ADV,O,O
,the,DET,O,O
,look,NOUN,B-location,O
,up,NOUN,I-location,O
,facility,NOUN,I-location,O
,with,ADP,O,O
,more,ADJ,O,O
,than,SCONJ,O,O
,50,NUM,O,O
,criminal,NOUN,B-crime,O
,act,NOUN,I-crime,O
,?,PUNCT,O,O
Sentence: 7087,a,DET,O,O
,illegal,X,B-crime,O
,and,X,I-crime,O
,punishable,X,I-crime,O
,crime,X,I-crime,O
,?,PUNCT,O,O
Sentence: 7088,looks,VERB,O,O
,like,SCONJ,O,O
,i,PRON,O,O
,am,AUX,O,O
,on,ADP,O,O
,the,DET,O,O
,el,PROPN,B-location,O
,,PUNCT,O,O
,the,DET,O,O
,abandoned,PROPN,B-location,O
,building,PROPN,I-location,O
,running,NOUN,B-unk,O
,parallel,NOUN,I-unk,O
,to,ADP,O,O
,michigan,PROPN,O,O
,,PUNCT,O,O
,which,DET,O,O
,i,PRON,O,O
,have,AUX,O,O
,no,DET,O,O
,idea,NOUN,O,O
,i,PRON,O,O
,can,VERB,O,O
,see,VERB,O,O
,.,PUNCT,O,O
Sentence: 7089,can,VERB,O,O
,you,PRON,O,O
,move,VERB,O,O
,it,PRON,O,O
,to,ADP,O,O
,the,DET,O,O
,left,NOUN,O,O
,here,ADV,O,O
,?,PUNCT,O,O
Sentence: 7090,the,DET,O,O
,vehicle,NOUN,B-location,O
,was,AUX,O,O
,it,PRON,O,O
,,PUNCT,O,O
,i,PRON,O,O
,would,VERB,O,O
,be,AUX,O,O
,avoiding,VERB,O,O
,for,ADP,O,O
,a,DET,O,O
,department,NOUN,B-location,O
,store,NOUN,I-location,O
,for,ADP,O,O
,a,DET,O,O
,cta,PROPN,B-location,O
,garage,PROPN,I-location,O
,at,ADP,O,O
,night,NOUN,O,O
,.,PUNCT,O,O
Sentence: 7091,can,VERB,O,O
,i,PRON,O,O
,cancel,VERB,O,O
,a,DET,O,O
,number,NOUN,O,O
,of,ADP,O,O
,criminal,NOUN,B-crime,O
,abortion,NOUN,I-crime,O
,in,ADP,O,O
,the,PROPN,B-unk,O
,Loop,PROPN,I-unk,O
,for,ADP,O,O
,only,ADV,O,O
,4,NUM,O,O
,weeks,NOUN,O,O
,?,PUNCT,O,O
Sentence: 7092,for,ADP,O,O
,a,DET,O,O
,time,NOUN,B-time,O
,in,ADP,O,O
,january,PROPN,B-month,O
,20,NUM,O,O
,to,ADP,O,O
,december,PROPN,B-month,O
,20,NUM,O,O
,,PUNCT,O,O
,so,CCONJ,O,O
,the,DET,O,O
,criminal,NOUN,B-crime,O
,abortion,NOUN,I-crime,O
,is,AUX,O,O
,the,DET,O,O
,most,ADJ,O,O
,abortion,NOUN,B-crime,O
,from,ADP,O,O
,what,PRON,O,O
,i,PRON,O,O
,can,VERB,O,O
,see,VERB,O,O
,you,PRON,O,O
,may,VERB,O,O
,still,ADV,O,O
,be,AUX,O,O
,moving,VERB,O,O
,.,PUNCT,O,O
Sentence: 7093,interesting,ADJ,O,O
,can,VERB,O,O
,i,PRON,O,O
,see,VERB,O,O
,my,DET,O,O
,records,NOUN,O,O
,?,PUNCT,O,O
Sentence: 7094,interesting,ADJ,O,O
,three,NUM,O,O
,criminal,NUM,B-crime,O
,abortion,NUM,I-crime,O
,three,NUM,O,O
,public,NOUN,B-crime,O
,peace,NOUN,I-crime,O
,violation,NOUN,I-crime,O
,charges,NOUN,I-crime,O
,in,ADP,O,O
,order,NOUN,O,O
,to,ADP,O,O
,criminal,NUM,B-crime,O
,abortion,NUM,I-crime,O
,murder,NOUN,B-crime,O
,.,PUNCT,O,O
Sentence: 7095,can,VERB,O,O
,i,PRON,O,O
,also,ADV,O,O
,see,VERB,O,O
,what,PRON,O,O
,this,DET,O,O
,ritualism,NOUN,B-crime,O
,?,PUNCT,O,O
Sentence: 7096,it,PRON,O,O
,is,AUX,O,O
,a,DET,O,O
,River,NOUN,B-neighborhood,O
,North,NOUN,I-neighborhood,O
,of,ADP,O,O
,a,DET,O,O
,block,NOUN,O,O
,.,PUNCT,O,O
Sentence: 7097,great,PROPN,O,O
,and,CCONJ,O,O
,michigan,PROPN,O,O
,seems,VERB,O,O
,to,PART,O,O
,be,AUX,O,O
,the,DET,O,O
,lead,NOUN,O,O
,point,NOUN,O,O
,,PUNCT,O,O
,or,CCONJ,O,O
,michigan,PROPN,O,O
,and,CCONJ,O,O
,sentiment,NOUN,O,O
,.,PUNCT,O,O
Sentence: 7098,can,VERB,O,O
,i,PRON,O,O
,see,VERB,O,O
,the,DET,O,O
,number,NOUN,O,O
,of,ADP,O,O
,liquor,PROPN,B-crime,O
,law,PROPN,I-crime,O
,violation,PROPN,I-crime,O
,in,ADP,O,O
,a,DET,O,O
,three,NUM,O,O
,block,NOUN,B-unk,O
,radius,NOUN,I-unk,O
,around,ADP,O,O
,ontario,PROPN,O,O
,and,CCONJ,O,O
,michigan,PROPN,O,O
,for,ADP,O,O
,assault,NOUN,B-crime,O
,is,AUX,O,O
,?,PUNCT,O,O
Sentence: 7099,interesting,ADJ,O,O
,so,ADV,O,O
,much,ADV,O,O
,,PUNCT,O,O
,it,PRON,O,O
,seems,VERB,O,O
,to,PART,O,O
,have,AUX,O,O
,been,AUX,O,O
,concentrated,VERB,O,O
,and,CCONJ,O,O
,UUNNKK,PROPN,O,O
,,PUNCT,O,O
,but,CCONJ,O,O
,we,PRON,O,O
,do,AUX,O,O
,not,PART,O,O
,have,AUX,O,O
,the,DET,O,O
,rest,NOUN,O,O
,of,ADP,O,O
,them,PRON,O,O
,.,PUNCT,O,O
Sentence: 7100,can,VERB,O,O
,i,PRON,O,O
,see,VERB,O,O
,the,DET,O,O
,rest,NOUN,O,O
,of,ADP,O,O
,the,DET,O,O
,river,NOUN,O,O
,in,ADP,O,O
,the,DET,O,O
,north,NOUN,O,O
,into,ADP,O,O
,assault,NOUN,B-crime,O
,?,PUNCT,O,O
Sentence: 7101,okay,INTJ,O,O
,,PUNCT,O,O
,can,VERB,O,O
,i,PRON,O,O
,see,VERB,O,O
,all,DET,O,O
,the,DET,O,O
,cases,NOUN,O,O
,at,ADP,O,O
,all,DET,O,O
,four,NUM,O,O
,cta,PROPN,B-location,O
,platform,PROPN,I-location,O
,?,PUNCT,O,O
Sentence: 7102,wow,INTJ,O,O
,,PUNCT,O,O
,that,DET,O,O
,is,AUX,O,O
,basically,ADV,O,O
,interesting,ADJ,O,O
,that,SCONJ,O,O
,it,PRON,O,O
,is,AUX,O,O
,interesting,ADJ,O,O
,that,SCONJ,O,O
,the,DET,O,O
,driving,PROPN,B-crime,O
,under,PROPN,I-crime,O
,the,PROPN,I-crime,O
,influence,PROPN,I-crime,O
,are,AUX,O,O
,definitely,ADV,O,O
,in,ADP,O,O
,driving,PROPN,B-crime,O
,under,PROPN,I-crime,O
,the,PROPN,I-crime,O
,influence,PROPN,I-crime,O
,.,PUNCT,O,O
Sentence: 7103,and,CCONJ,O,O
,cleaning,PROPN,B-location,O
,store,PROPN,I-location,O
,madison,PROPN,I-location,O
,monroe,PROPN,I-location,O
,.,PUNCT,O,O
Sentence: 7104,if,SCONJ,O,O
,i,PRON,O,O
,could,VERB,O,O
,go,VERB,O,O
,to,ADP,O,O
,a,DET,O,O
,vacant,NOUN,B-location,O
,lot,NOUN,I-location,O
,on,ADP,O,O
,year,NOUN,B-year,O
,,PUNCT,O,O
,and,CCONJ,O,O
,if,SCONJ,O,O
,i,PRON,O,O
,were,AUX,O,O
,going,VERB,O,O
,to,PART,O,O
,drive,VERB,O,O
,small,ADV,B-location,O
,retail,ADV,I-location,O
,store,ADV,I-location,O
,,PUNCT,O,O
,i,PRON,O,O
,should,VERB,O,O
,not,PART,O,O
,have,AUX,O,O
,done,VERB,O,O
,it,PRON,O,O
,on,ADP,O,O
,the,DET,O,O
,day,NOUN,B-day,O
,?,PUNCT,O,O
Sentence: 7105,i,PRON,O,O
,mean,VERB,O,O
,,PUNCT,O,O
,if,SCONJ,O,O
,i,PRON,O,O
,were,AUX,O,O
,going,VERB,O,O
,to,ADP,O,O
,the,DET,O,O
,garage,NOUN,B-location,O
,in,ADP,O,O
,chicago,PROPN,O,O
,in,ADP,O,O
,one,NUM,O,O
,of,ADP,O,O
,these,DET,O,O
,four,NUM,O,O
,motel,NOUN,B-location,O
,where,ADV,O,O
,sidewalk,NOUN,B-location,O
,should,VERB,O,O
,i,PRON,O,O
,avoid,VERB,O,O
,a,DET,O,O
,number,NOUN,O,O
,of,ADP,O,O
,crimes,NOUN,O,O
,in,ADP,O,O
,the,DET,O,O
,parking,NUM,B-location,O
,lot,NUM,I-location,O
,?,PUNCT,O,O
Sentence: 7106,february,PROPN,B-month,O
,15,NUM,O,O
,february,PROPN,B-month,O
,15,NUM,O,O
,,PUNCT,O,O
,at,ADP,O,O
,february,PROPN,B-month,O
,15,NUM,O,O
,,PUNCT,O,O
,who,PRON,O,O
,do,AUX,O,O
,not,PART,O,O
,go,VERB,O,O
,there,ADV,O,O
,at,ADP,O,O
,fullerton,PROPN,O,O
,and,CCONJ,O,O
,fulton,PROPN,O,O
,?,PUNCT,O,O
Sentence: 7107,is,AUX,O,O
,it,PRON,O,O
,another,DET,O,O
,month,NOUN,B-month,O
,and,CCONJ,O,O
,others,NOUN,O,O
,?,PUNCT,O,O
Sentence: 7108,can,VERB,O,O
,we,PRON,O,O
,review,VERB,O,O
,the,DET,O,O
,data,NOUN,O,O
,?,PUNCT,O,O
Sentence: 7109,for,ADP,O,O
,the,DET,O,O
,illegal,PROPN,B-crime,O
,criminal,PROPN,I-crime,O
,in,ADP,O,O
,the,DET,O,O
,residential,NOUN,B-location,O
,,PUNCT,O,O
,i,PRON,O,O
,can,VERB,O,O
,also,ADV,O,O
,see,VERB,O,O
,major,ADJ,O,O
,porch,NOUN,B-location,O
,around,ADP,O,O
,them,PRON,O,O
,?,PUNCT,O,O
Sentence: 7110,it,PRON,O,O
,is,AUX,O,O
,okay,ADJ,O,O
,.,PUNCT,O,O
Sentence: 7111,it,PRON,O,O
,is,AUX,O,O
,hard,ADJ,O,O
,for,ADP,O,O
,you,PRON,O,O
,to,PART,O,O
,extract,VERB,O,O
,anything,PRON,O,O
