Sentence #,Word,POS,NER_Tag,RefExp_Tag
Sentence: 9576,will,VERB,O,O
,i,PRON,O,O
,see,VERB,O,O
,the,DET,O,O
,total,ADJ,O,O
,number,NOUN,O,O
,of,ADP,O,O
,crimes,NOUN,O,O
,that,DET,O,O
,type,NOUN,O,O
,for,ADP,O,O
,criminal,SYM,B-crime,O
,offender,SYM,I-crime,O
,a,DET,O,O
,type,NOUN,B-crime,O
,of,NOUN,I-crime,O
,crime,NOUN,I-crime,O
,line,NOUN,I-crime,O
,and,CCONJ,O,O
,total,ADJ,O,O
,number,NOUN,O,O
,of,ADP,O,O
,currency,PROPN,B-location,O
,exchange,PROPN,I-location,O
,?,PUNCT,O,O
Sentence: 9577,or,CCONJ,O,O
,other,ADJ,O,O
,representation,NOUN,O,O
,.,PUNCT,O,O
Sentence: 9578,there,PRON,O,O
,is,AUX,O,O
,a,DET,O,O
,lot,NOUN,O,O
,of,ADP,O,O
,liquor,NOUN,B-crime,O
,law,NOUN,I-crime,O
,violation,NOUN,I-crime,O
,and,CCONJ,O,O
,burglary,NOUN,B-crime,O
,.,PUNCT,O,O
Sentence: 9579,excuse,VERB,O,O
,me,PRON,O,O
,just,ADV,O,O
,a,DET,O,O
,little,ADJ,O,O
,bit,NOUN,O,O
,?,PUNCT,O,O
Sentence: 9580,yeah,INTJ,O,O
,,PUNCT,O,O
,i,PRON,O,O
,do,AUX,O,O
,not,PART,O,O
,know,VERB,O,O
,what,PRON,O,O
,it,PRON,O,O
,is,AUX,O,O
,.,PUNCT,O,O
Sentence: 9581,okay,INTJ,O,O
,,PUNCT,O,O
,so,ADV,O,O
,i,PRON,O,O
,am,AUX,O,O
,thinking,VERB,O,O
,about,ADP,O,O
,5,NUM,O,O
,categories,NOUN,O,O
,of,ADP,O,O
,infraction,NOUN,B-crime,O
,in,ADP,O,O
,the,DET,O,O
,department,PROPN,B-location,O
,store,PROPN,I-location,O
,of,ADP,O,O
,five,NUM,O,O
,hours,NOUN,O,O
,,PUNCT,O,O
,which,DET,O,O
,i,PRON,O,O
,do,AUX,O,O
,not,PART,O,O
,know,VERB,O,O
,what,PRON,O,O
,the,DET,O,O
,second,ADJ,O,O
,thing,NOUN,O,O
,is,AUX,O,O
,.,PUNCT,O,O
Sentence: 9582,can,VERB,O,O
,i,PRON,O,O
,see,VERB,O,O
,the,DET,O,O
,number,NOUN,O,O
,of,ADP,O,O
,legal,PROPN,B-crime,O
,criminal,PROPN,I-crime,O
,?,PUNCT,O,O
Sentence: 9583,and,CCONJ,O,O
,we,PRON,O,O
,have,AUX,O,O
,a,DET,O,O
,map,NOUN,O,O
,of,ADP,O,O
,where,ADV,O,O
,the,DET,O,O
,legal,PROPN,B-crime,O
,crime,PROPN,I-crime,O
,has,AUX,O,O
,taken,VERB,O,O
,street,NOUN,B-location,O
,at,ADP,O,O
,the,DET,O,O
,area,NOUN,B-neighborhood,O
,of,NOUN,I-neighborhood,O
,city,NOUN,I-neighborhood,O
,?,PUNCT,O,O
Sentence: 9584,ok,INTJ,O,O
,serious,ADV,B-crime,O
,crime,ADV,I-crime,O
,.,PUNCT,O,O
Sentence: 9585,can,VERB,O,O
,i,PRON,O,O
,filter,VERB,O,O
,the,DET,O,O
,law,NOUN,B-crime,O
,breaking,NOUN,I-crime,O
,on,ADP,O,O
,the,DET,O,O
,map,NOUN,O,O
,to,PART,O,O
,show,VERB,O,O
,a,DET,O,O
,noncriminal,NOUN,B-crime,O
,offense,NOUN,I-crime,O
,?,PUNCT,O,O
Sentence: 9586,i,PRON,O,O
,do,AUX,O,O
,not,PART,O,O
,think,VERB,O,O
,the,DET,O,O
,liquor,NOUN,B-crime,O
,law,NOUN,I-crime,O
,is,AUX,O,O
,everywhere,ADV,O,O
,.,PUNCT,O,O
Sentence: 9587,what,PRON,O,O
,about,ADP,O,O
,the,DET,O,O
,other,ADJ,O,O
,map,NOUN,O,O
,with,ADP,O,O
,the,DET,O,O
,public,NOUN,B-crime,O
,indecency,NOUN,I-crime,O
,?,PUNCT,O,O
Sentence: 9588,i,PRON,O,O
,am,AUX,O,O
,sure,ADJ,O,O
,the,DET,O,O
,stalking,NOUN,B-crime,O
,would,VERB,O,O
,be,AUX,O,O
,more,ADJ,O,O
,arson,NOUN,B-crime,O
,into,ADP,O,O
,Near,PROPN,B-neighborhood,O
,West,PROPN,I-neighborhood,O
,.,PUNCT,O,O
Sentence: 9589,okay,INTJ,O,O
,,PUNCT,O,O
,i,PRON,O,O
,think,VERB,O,O
,i,PRON,O,O
,guess,VERB,O,O
,they,PRON,O,O
,want,VERB,O,O
,to,PART,O,O
,know,VERB,O,O
,where,ADV,O,O
,intimidation,NOUN,B-crime,O
,is,AUX,O,O
,seriously,ADV,O,O
,,PUNCT,O,O
,so,ADV,O,O
,i,PRON,O,O
,want,VERB,O,O
,to,PART,O,O
,focus,VERB,O,O
,on,ADP,O,O
,theft,NOUN,B-crime,O
,for,ADP,O,O
,a,DET,O,O
,second,NOUN,O,O
,.,PUNCT,O,O
Sentence: 9590,so,CCONJ,O,O
,can,VERB,O,O
,i,PRON,O,O
,see,VERB,O,O
,the,DET,O,O
,weapons,NOUN,B-crime,O
,violation,NOUN,I-crime,O
,by,ADP,O,O
,year,NOUN,B-year,O
,?,PUNCT,O,O
Sentence: 9591,does,AUX,O,O
,this,DET,O,O
,time,NOUN,B-time,O
,not,PART,O,O
,mean,VERB,O,O
,year,NOUN,B-year,O
,?,PUNCT,O,O
Sentence: 9592,i,PRON,O,O
,would,VERB,O,O
,like,VERB,O,O
,to,PART,O,O
,see,VERB,O,O
,sex,PROPN,B-crime,O
,offense,PROPN,I-crime,O
,in,ADP,O,O
,the,DET,O,O
,week,NOUN,O,O
,of,ADP,O,O
,week,NOUN,O,O
,sex,NOUN,B-crime,O
,offense,NOUN,I-crime,O
,by,ADP,O,O
,the,DET,O,O
,criminal,NOUN,B-crime,O
,abortion,NOUN,I-crime,O
,.,PUNCT,O,O
Sentence: 9593,three,NUM,O,O
,different,ADJ,O,O
,business,NOUN,B-location,O
,office,NOUN,I-location,O
,.,PUNCT,O,O
Sentence: 9594,so,CCONJ,O,O
,during,ADP,O,O
,summer,NOUN,B-season,O
,.,PUNCT,O,O
Sentence: 9595,yes,INTJ,O,O
,,PUNCT,O,O
,the,DET,O,O
,answer,NOUN,O,O
,is,AUX,O,O
,good,ADJ,O,O
,.,PUNCT,O,O
Sentence: 9596,so,CCONJ,O,O
,we,PRON,O,O
,have,AUX,O,O
,some,DET,O,O
,different,ADJ,O,O
,parking,NOUN,B-location,O
,lot,NOUN,I-location,O
,to,PART,O,O
,recognize,VERB,O,O
,the,DET,O,O
,region,NOUN,B-neighborhood,O
,,PUNCT,O,O
,so,CCONJ,O,O
,can,VERB,O,O
,i,PRON,O,O
,see,VERB,O,O
,full,ADJ,O,O
,number,NOUN,O,O
,of,ADP,O,O
,disturbing,PROPN,B-crime,O
,the,PROPN,I-crime,O
,peace,PROPN,I-crime,O
,?,PUNCT,O,O
Sentence: 9597,all,ADV,O,O
,right,ADV,O,O
,,PUNCT,O,O
,let,VERB,O,O
,us,PRON,O,O
,all,DET,O,O
,get,AUX,O,O
,some,DET,O,O
,of,ADP,O,O
,the,DET,O,O
,total,ADJ,O,O
,number,NOUN,O,O
,of,ADP,O,O
,infraction,NOUN,B-crime,O
,in,ADP,O,O
,neighborhood,NOUN,O,O
,and,CCONJ,O,O
,total,ADJ,O,O
,illegal,NUM,B-crime,O
,offender,NUM,I-crime,O
,with,ADP,O,O
,the,DET,O,O
,other,ADJ,O,O
,convicted,PROPN,B-crime,O
,felon,PROPN,I-crime,O
,.,PUNCT,O,O
Sentence: 9598,is,AUX,O,O
,it,PRON,O,O
,interesting,ADJ,O,O
,so,SCONJ,O,O
,it,PRON,O,O
,can,VERB,O,O
,be,AUX,O,O
,created,VERB,O,O
,by,ADP,O,O
,the,DET,O,O
,same,ADJ,O,O
,width,NOUN,O,O
,of,ADP,O,O
,the,DET,O,O
,same,ADJ,O,O
,numbers,NOUN,O,O
,?,PUNCT,O,O
