Sentence #,Word,POS,NER_Tag,RefExp_Tag
Sentence: 2342,i,PRON,O,O
,will,VERB,O,O
,think,VERB,O,O
,about,ADP,O,O
,it,PRON,O,O
,.,PUNCT,O,O
Sentence: 2343,i,PRON,O,O
,think,VERB,O,O
,i,PRON,O,O
,want,VERB,O,O
,to,PART,O,O
,start,VERB,O,O
,by,ADP,O,O
,simple,ADJ,O,O
,and,CCONJ,O,O
,try,VERB,O,O
,to,PART,O,O
,get,AUX,O,O
,more,ADV,O,O
,detailed,ADJ,O,O
,.,PUNCT,O,O
Sentence: 2344,so,CCONJ,O,O
,beginning,VERB,O,O
,to,ADP,O,O
,getting,VERB,O,O
,rid,VERB,O,O
,of,ADP,O,O
,the,DET,O,O
,total,ADJ,O,O
,amount,NOUN,O,O
,of,ADP,O,O
,crimes,NOUN,O,O
,that,DET,O,O
,happened,VERB,O,O
,by,ADP,O,O
,three,NUM,O,O
,main,ADJ,O,O
,areas,NOUN,O,O
,north,NOUN,O,O
,and,CCONJ,O,O
,west,NOUN,B-unk,O
,side,NOUN,I-unk,O
,.,PUNCT,O,O
Sentence: 2345,just,ADV,O,O
,because,SCONJ,O,O
,i,PRON,O,O
,am,AUX,O,O
,thinking,VERB,O,O
,about,ADP,O,O
,it,PRON,O,O
,,PUNCT,O,O
,you,PRON,O,O
,know,VERB,O,O
,everything,PRON,O,O
,started,VERB,O,O
,.,PUNCT,O,O
Sentence: 2346,it,PRON,O,O
,is,AUX,O,O
,actually,ADV,O,O
,a,DET,O,O
,problem,NOUN,O,O
,.,PUNCT,O,O
Sentence: 2347,what,PRON,O,O
,is,AUX,O,O
,going,VERB,O,O
,on,ADP,O,O
,?,PUNCT,O,O
Sentence: 2348,do,AUX,O,O
,we,PRON,O,O
,know,VERB,O,O
,what,PRON,O,O
,this,DET,O,O
,definition,NOUN,O,O
,is,AUX,O,O
,or,CCONJ,O,O
,?,PUNCT,O,O
Sentence: 2349,all,ADV,O,O
,right,ADV,O,O
,,PUNCT,O,O
,here,ADV,O,O
,we,PRON,O,O
,go,VERB,O,O
,.,PUNCT,O,O
Sentence: 2350,the,PROPN,B-unk,O
,Loop,PROPN,I-unk,O
,is,AUX,O,O
,good,ADJ,O,O
,.,PUNCT,O,O
Sentence: 2351,ok,INTJ,O,O
,Loop,NOUN,B-neighborhood,O
,of,ADP,O,O
,the,DET,O,O
,retail,NOUN,B-location,O
,store,NOUN,I-location,O
,will,VERB,O,O
,be,AUX,O,O
,able,ADJ,O,O
,to,PART,O,O
,see,VERB,O,O
,similar,ADJ,O,O
,division,NOUN,O,O
