Sentence #,Word,POS,NER_Tag,RefExp_Tag
Sentence: 11454,i,PRON,O,O
,will,VERB,O,O
,think,VERB,O,O
,about,ADP,O,O
,it,PRON,O,O
,.,PUNCT,O,O
Sentence: 11455,i,PRON,O,O
,think,VERB,O,O
,i,PRON,O,O
,want,VERB,O,O
,to,PART,O,O
,start,VERB,O,O
,off,ADP,O,O
,the,DET,O,O
,simple,NOUN,O,O
,and,CCONJ,O,O
,try,VERB,O,O
,to,PART,O,O
,get,AUX,O,O
,more,ADV,O,O
,detailed,ADJ,O,O
,instructions,NOUN,O,O
,.,PUNCT,O,O
Sentence: 11456,as,SCONJ,O,O
,i,PRON,O,O
,am,AUX,O,O
,starting,VERB,O,O
,to,PART,O,O
,see,VERB,O,O
,,PUNCT,O,O
,i,PRON,O,O
,want,VERB,O,O
,to,PART,O,O
,see,VERB,O,O
,all,DET,O,O
,of,ADP,O,O
,felony,PROPN,B-crime,O
,crime,PROPN,I-crime,O
,that,DET,O,O
,divide,NOUN,O,O
,by,ADP,O,O
,three,NUM,O,O
,main,ADJ,O,O
,areas,NOUN,O,O
,in,ADP,O,O
,the,PROPN,B-unk,O
,Loop,PROPN,I-unk,O
,and,CCONJ,O,O
,the,DET,O,O
,west,NOUN,B-unk,O
,side,NOUN,I-unk,O
,.,PUNCT,O,O
Sentence: 11457,just,ADV,O,O
,because,SCONJ,O,O
,i,PRON,O,O
,thought,VERB,O,O
,you,PRON,O,O
,just,ADV,O,O
,started,VERB,O,O
,.,PUNCT,O,O
Sentence: 11458,it,PRON,O,O
,is,AUX,O,O
,a,DET,O,O
,really,ADV,O,O
,problem,NOUN,O,O
,.,PUNCT,O,O
Sentence: 11459,what,PRON,O,O
,is,AUX,O,O
,going,VERB,O,O
,on,ADP,O,O
,?,PUNCT,O,O
Sentence: 11460,what,PRON,O,O
,the,DET,O,O
,definition,NOUN,O,O
,is,AUX,O,O
,or,CCONJ,O,O
,?,PUNCT,O,O
Sentence: 11461,all,ADV,O,O
,right,ADV,O,O
,,PUNCT,O,O
,here,ADV,O,O
,we,PRON,O,O
,go,VERB,O,O
,.,PUNCT,O,O
Sentence: 11462,ok,INTJ,O,O
,Near,PROPN,B-neighborhood,O
,West,PROPN,I-neighborhood,O
,.,PUNCT,O,O
Sentence: 11463,ok,INTJ,O,O
,Near,ADJ,B-neighborhood,O
,West,ADJ,I-neighborhood,O
,of,ADP,O,O
,the,DET,O,O
,motel,NOUN,B-location,O
,will,VERB,O,O
,be,AUX,O,O
,able,ADJ,O,O
,to,PART,O,O
,see,VERB,O,O
,similar,ADJ,O,O
,division,NOUN,O,O
,between,ADP,O,O
,four,NUM,O,O
,locality,NOUN,B-location,O
,,PUNCT,O,O
