Sentence #,Word,POS,NER_Tag,RefExp_Tag
Sentence: 1399,which,DET,O,O
,park,NOUN,B-location,O
,has,AUX,O,O
,the,DET,O,O
,highest,ADJ,O,O
,recorded,ADJ,O,O
,illegal,PRON,B-crime,O
,activity,PRON,I-crime,O
,?,PUNCT,O,O
Sentence: 1400,so,ADV,O,O
,i,PRON,O,O
,see,VERB,O,O
,that,SCONJ,O,O
,the,DET,O,O
,Near,PROPN,B-neighborhood,O
,West,PROPN,I-neighborhood,O
,is,AUX,O,O
,the,DET,O,O
,highest,ADJ,O,O
,evil,NUM,B-crime,O
,deed,NUM,I-crime,O
,.,PUNCT,O,O
Sentence: 1401,can,VERB,O,O
,i,PRON,O,O
,see,VERB,O,O
,the,DET,O,O
,intersection,NOUN,O,O
,between,ADP,O,O
,the,DET,O,O
,Near,PROPN,B-neighborhood,O
,West,PROPN,I-neighborhood,O
,and,CCONJ,O,O
,cta,PROPN,B-location,O
,train,PROPN,I-location,O
,motel,NOUN,B-location,O
,and,CCONJ,O,O
,residential,ADJ,B-location,O
,look,NOUN,O,O
,?,PUNCT,O,O
Sentence: 1402,is,AUX,O,O
,not,PART,O,O
,that,DET,O,O
,changing,VERB,O,O
,?,PUNCT,O,O
Sentence: 1403,how,ADV,O,O
,can,VERB,O,O
,we,PRON,O,O
,identify,VERB,O,O
,area,NOUN,B-neighborhood,O
,of,NOUN,I-neighborhood,O
,city,NOUN,I-neighborhood,O
,?,PUNCT,O,O
,which,DET,O,O
,is,AUX,O,O
,the,DET,O,O
,cta,PROPN,B-location,O
,garage,PROPN,I-location,O
,and,CCONJ,O,O
,which,DET,O,O
,is,AUX,O,O
,a,DET,O,O
,cta,PROPN,B-location,O
,garage,PROPN,I-location,O
,?,PUNCT,O,O
Sentence: 1404,i,PRON,O,O
,want,VERB,O,O
,to,PART,O,O
,know,VERB,O,O
,the,DET,O,O
,intersection,NOUN,O,O
,between,ADP,O,O
,the,DET,O,O
,University,NOUN,B-neighborhood,O
,of,NOUN,I-neighborhood,O
,Illinois,NOUN,I-neighborhood,O
,at,NOUN,I-neighborhood,O
,Chicago,NOUN,I-neighborhood,O
,,PUNCT,O,O
,i,PRON,O,O
,want,VERB,O,O
,to,PART,O,O
,know,VERB,O,O
,what,PRON,O,O
,is,AUX,O,O
,the,DET,O,O
,neighboring,NOUN,B-neighborhood,O
,that,SCONJ,O,O
,the,DET,O,O
,greatest,ADJ,O,O
,illegal,PROPN,B-crime,O
,criminal,PROPN,I-crime,O
,in,ADP,O,O
,the,DET,O,O
,river,NOUN,B-neighborhood,O
,north,NOUN,I-neighborhood,O
,?,PUNCT,O,O
Sentence: 1405,are,AUX,O,O
,the,DET,O,O
,commercial,NOUN,B-location,O
,the,DET,O,O
,gas,PROPN,B-location,O
,station,PROPN,I-location,O
,are,AUX,O,O
,the,DET,O,O
,garage,NOUN,B-location,O
,?,PUNCT,O,O
Sentence: 1406,which,DET,O,O
,leads,VERB,O,O
,to,ADP,O,O
,River,NOUN,B-neighborhood,O
,North,NOUN,I-neighborhood,O
,.,PUNCT,O,O
Sentence: 1407,can,VERB,O,O
,you,PRON,O,O
,explain,VERB,O,O
,what,PRON,O,O
,is,AUX,O,O
,going,VERB,O,O
,on,ADP,O,O
,for,ADP,O,O
,what,PRON,O,O
,is,AUX,O,O
,this,DET,O,O
,non,ADJ,B-crime,O
,criminal,ADJ,I-crime,O
,and,CCONJ,O,O
,this,DET,O,O
,charade,NOUN,O,O
,?,PUNCT,O,O
Sentence: 1408,so,CCONJ,O,O
,there,PRON,O,O
,is,AUX,O,O
,a,DET,O,O
,robbery,NOUN,B-crime,O
,,PUNCT,O,O
,and,CCONJ,O,O
,so,ADV,O,O
,what,PRON,O,O
,kind,NOUN,O,O
,of,ADP,O,O
,alcohol,PROPN,B-crime,O
,intoxication,PROPN,I-crime,O
,is,AUX,O,O
,it,PRON,O,O
,?,PUNCT,O,O
Sentence: 1409,so,CCONJ,O,O
,what,PRON,O,O
,is,AUX,O,O
,the,DET,O,O
,illegal,PROPN,B-crime,O
,and,PROPN,I-crime,O
,punishable,PROPN,I-crime,O
,that,DET,O,O
,month,NOUN,B-month,O
,is,AUX,O,O
