Sentence #,Word,POS,NER_Tag,RefExp_Tag
Sentence: 12074,let,VERB,O,O
,us,PRON,O,O
,see,VERB,O,O
,.,PUNCT,O,O
Sentence: 12075,i,PRON,O,O
,should,VERB,O,O
,probably,ADV,O,O
,let,VERB,O,O
,us,PRON,O,O
,start,VERB,O,O
,with,ADP,O,O
,the,DET,O,O
,activity,NOUN,O,O
,around,ADP,O,O
,UIC,PROPN,B-neighborhood,O
,?,PUNCT,O,O
Sentence: 12076,let,VERB,O,O
,us,PRON,O,O
,see,VERB,O,O
,.,PUNCT,O,O
Sentence: 12077,is,AUX,O,O
,it,PRON,O,O
,working,VERB,O,O
,?,PUNCT,O,O
Sentence: 12078,i,PRON,O,O
,just,ADV,O,O
,remembered,VERB,O,O
,my,DET,O,O
,thoughts,NOUN,O,O
,.,PUNCT,O,O
Sentence: 12079,it,PRON,O,O
,is,AUX,O,O
,processing,VERB,O,O
,,PUNCT,O,O
,so,SCONJ,O,O
,it,PRON,O,O
,works,VERB,O,O
,.,PUNCT,O,O
Sentence: 12080,this,DET,O,O
,thing,NOUN,O,O
,is,AUX,O,O
,all,DET,O,O
,sorted,VERB,O,O
,out,ADP,O,O
,.,PUNCT,O,O
Sentence: 12081,in,ADP,O,O
,view,NOUN,O,O
,of,ADP,O,O
,the,DET,O,O
,city,NOUN,O,O
,that,DET,O,O
,the,DET,O,O
,city,NOUN,O,O
,is,AUX,O,O
,specifically,ADV,O,O
,aimed,VERB,O,O
,,PUNCT,O,O
,authorities,NOUN,O,O
,are,AUX,O,O
,aimed,VERB,O,O
,at,ADP,O,O
,greater,ADJ,O,O
,enforcement,NOUN,B-unk,O
,resources,NOUN,I-unk,O
,to,PART,O,O
,prevent,VERB,O,O
,hoodlum,NOUN,B-crime,O
,and,CCONJ,O,O
,prevent,VERB,O,O
,criminal,PRON,B-crime,O
,act,PRON,I-crime,O
,to,PART,O,O
,be,AUX,O,O
,extended,VERB,O,O
,to,ADP,O,O
,the,DET,O,O
,area,NOUN,O,O
,to,ADP,O,O
,the,DET,O,O
,public,NOUN,O,O
,.,PUNCT,O,O
Sentence: 12082,this,DET,O,O
,is,AUX,O,O
,all,DET,O,O
,neighboring,VERB,O,O
,in,ADP,O,O
,the,DET,O,O
,area,NOUN,O,O
,this,DET,O,O
,is,AUX,O,O
,just,ADV,O,O
,exactly,ADV,O,O
,River,NOUN,B-neighborhood,O
,North,NOUN,I-neighborhood,O
,.,PUNCT,O,O
Sentence: 12083,i,PRON,O,O
,am,AUX,O,O
,going,VERB,O,O
,to,PART,O,O
,channel,VERB,O,O
,canal,PROPN,O,O
,and,CCONJ,O,O
,roosevelt,PROPN,O,O
,.,PUNCT,O,O
Sentence: 12084,it,PRON,O,O
,is,AUX,O,O
,really,ADV,O,O
,hot,ADJ,O,O
,.,PUNCT,O,O
Sentence: 12085,but,CCONJ,O,O
,the,DET,O,O
,metro,PROPN,O,O
,is,AUX,O,O
,really,ADV,O,O
,red,ADJ,O,O
,.,PUNCT,O,O
Sentence: 12086,it,PRON,O,O
,is,AUX,O,O
,not,PART,O,O
,neighbouring,VERB,O,O
,.,PUNCT,O,O
Sentence: 12087,let,VERB,O,O
,us,PRON,O,O
,make,VERB,O,O
,sure,ADJ,O,O
,i,PRON,O,O
,change,VERB,O,O
,this,DET,O,O
,.,PUNCT,O,O
Sentence: 12088,i,PRON,O,O
,want,VERB,O,O
,to,PART,O,O
,be,AUX,O,O
,closer,ADJ,O,O
,to,ADP,O,O
,the,DET,O,O
,subway,NOUN,O,O
,right,ADV,O,O
,here,ADV,O,O
,than,SCONJ,O,O
,east,NOUN,O,O
,of,ADP,O,O
,greektown,PROPN,O,O
,.,PUNCT,O,O
Sentence: 12089,it,PRON,O,O
,is,AUX,O,O
,like,SCONJ,O,O
,the,DET,O,O
,river,NOUN,O,O
,.,PUNCT,O,O
Sentence: 12090,you,PRON,O,O
,can,VERB,O,O
,not,PART,O,O
,even,ADV,O,O
,zoom,VERB,O,O
,in,ADP,O,O
,.,PUNCT,O,O
Sentence: 12091,it,PRON,O,O
,is,AUX,O,O
,okay,ADJ,O,O
,.,PUNCT,O,O
Sentence: 12092,good,ADJ,O,O
,thing,NOUN,O,O
,,PUNCT,O,O
,cause,VERB,O,O
,it,PRON,O,O
,is,AUX,O,O
,a,DET,O,O
,funky,ADJ,O,O
,cta,NOUN,B-location,O
,platform,NOUN,I-location,O
,.,PUNCT,O,O
Sentence: 12093,gang,NOUN,B-crime,O
,activity,NOUN,I-crime,O
,is,AUX,O,O
,right,ADJ,O,O
,in,ADP,O,O
,the,DET,O,O
,subway,NOUN,O,O
,.,PUNCT,O,O
Sentence: 12094,i,PRON,O,O
,think,VERB,O,O
,i,PRON,O,O
,have,AUX,O,O
,this,DET,O,O
,cta,PROPN,B-location,O
,garage,PROPN,I-location,O
,for,ADP,O,O
,columbine,PROPN,O,O
,that,DET,O,O
,would,VERB,O,O
,be,AUX,O,O
,nearby,ADV,O,O
,,PUNCT,O,O
,and,CCONJ,O,O
,this,DET,O,O
,looks,VERB,O,O
,like,SCONJ,O,O
,east,NOUN,B-unk,O
,campus,NOUN,I-unk,O
,,PUNCT,O,O
,as,SCONJ,O,O
,the,DET,O,O
,eastern,NOUN,B-unk,O
,grocery,NOUN,I-unk,O
,food,NOUN,I-unk,O
,store,NOUN,I-unk,O
,.,PUNCT,O,O
Sentence: 12095,yeah,INTJ,O,O
,,PUNCT,O,O
,sure,INTJ,O,O
,.,PUNCT,O,O
Sentence: 12096,then,ADV,O,O
,let,VERB,O,O
,us,PRON,O,O
,look,VERB,O,O
,at,ADP,O,O
,the,DET,O,O
,Near,NOUN,B-neighborhood,O
,West,NOUN,I-neighborhood,O
,Side,NOUN,I-neighborhood,O
,,PUNCT,O,O
,are,AUX,O,O
,there,PRON,O,O
,in,ADP,O,O
,the,DET,O,O
,north,NOUN,O,O
,and,CCONJ,O,O
,in,ADP,O,O
,her,PRON,O,O
,?,PUNCT,O,O
Sentence: 12097,it,PRON,O,O
,is,AUX,O,O
,shrinking,VERB,O,O
,!,PUNCT,O,O
Sentence: 12098,it,PRON,O,O
,is,AUX,O,O
,so,ADV,O,O
,cool,ADJ,O,O
,.,PUNCT,O,O
Sentence: 12099,good,ADJ,O,O
,-,PUNCT,O,O
,bye,NOUN,O,O
,-,PUNCT,O,O
,bye,NOUN,O,O
,to,ADP,O,O
,your,DET,O,O
,math,NOUN,O,O
,maps,NOUN,O,O
,.,PUNCT,O,O
Sentence: 12100,it,PRON,O,O
,is,AUX,O,O
,a,DET,O,O
,teenager,NOUN,O,O
,.,PUNCT,O,O
Sentence: 12101,the,DET,O,O
,dot,NOUN,O,O
,is,AUX,O,O
,not,PART,O,O
,red,ADJ,O,O
,,PUNCT,O,O
,but,CCONJ,O,O
,it,PRON,O,O
